"u_number","display_name","software_model","product_type","po_number","end_date","u_country","location","u_reseller","purchase_date","purchased_rights","rights","cost","invoice_number","agreement_type"
"SE00103894","5008000008 - MICROSOFT Project 2007 Standard","MICROSOFT Project 2007 Standard","Perpetual","8840005734","","china","Shanghai - Section 701-801","","2008-08-13","24","24","MXN262,198.15","","Generic"
"SE00103896","5008000008 - MICROSOFT SQL Server 2008 R2 Enterprise","MICROSOFT SQL Server 2008 R2 Enterprise","Perpetual","8840005734","","china","Shanghai - Section 701-801","","2008-08-13","1","1","MXN75,272.17","","Generic"
"SE00103895","5008000008 - MICROSOFT Visio 2007 Standard","MICROSOFT Visio 2007 Standard","Perpetual","8840005734","","china","Shanghai - Section 701-801","","2008-08-13","24","24","MXN111,664.24","","Generic"
"SE00103897","5008000008 - MICROSOFT Windows Server 2008 R2 Standard","MICROSOFT Windows Server 2008 R2 Standard","Perpetual","8840005734","","china","Shanghai - Section 701-801","","2008-08-13","6","6","MXN113,917.55","","Generic"
"SE0022504","ACRONIS Cyber Protect Home Office Essentials","ACRONIS Cyber Protect Home Office Essentials","Subscription","5500280879","2023-11-14","Romania","Oradea","","2022-11-14","1","0","MXN846.19","","Generic"
"SE0023443","ACTIVESTATE ActiveTcl","ACTIVESTATE ActiveTcl","Subscription","Q-01563-1","2026-09-24","CANADA","Toronto - 5140 Yonge","Active state","","75","75","MXN0.00","","Enterprise License Agreement (ELA)"
"SE00106371","Adobe Acrobat 2015 Pro","Adobe Acrobat 2015 Pro","Perpetual","5500196918","","Canada","Newmarket","","","6","6","MXN0.00","","Generic"
"SE0021605","Adobe Acrobat 2015 Pro","Adobe Acrobat 2015 Pro","Perpetual","9000400333","","CHINA","Song Shan Lake","","","1","1","MXN0.00","","Enterprise Term License Agreement (ETLA)"
"SE0021624","Adobe Acrobat 2015 Pro DC","Adobe Acrobat 2015 Pro DC","Perpetual","9280095420","","","","SHI INTERNATIONAL CORP.","2016-08-16","2","2","MXN14,114.94","","Generic"
"SE0022852","Adobe Acrobat 2015 Pro DC","Adobe Acrobat 2015 Pro DC","Perpetual","9280091338","","Malaysia","Johor Bahru - CJH - Airport","SHI INTERNATIONAL CORP.","2015-06-23","1","1","MXN7,057.47","","Generic"
"SE0021620","Adobe Acrobat 2015 Pro DC","Adobe Acrobat 2015 Pro DC","Perpetual","9280093266","","Malaysia","Johor Bahru - CJH - Airport","SHI INTERNATIONAL CORP.","2024-05-17","2","2","MXN14,114.94","","Generic"
"SE00106372","Adobe Acrobat 2015 Pro DC","Adobe Acrobat 2015 Pro DC","Perpetual","5500196918","","Canada","Newmarket","","","23","23","MXN0.00","","Generic"
"SE0021621","Adobe Acrobat 2015 Pro DC","Adobe Acrobat 2015 Pro DC","Perpetual","9280093817","","Malaysia","Johor Bahru - CJH - Airport","SHI INTERNATIONAL CORP.","","1","1","MXN7,057.47","","Generic"
"SE0022853","Adobe Acrobat 2015 Pro DC","Adobe Acrobat 2015 Pro DC","Perpetual","9280095420","","Malaysia","Johor Bahru - CJH - Airport","SHI INTERNATIONAL CORP.","2016-08-04","2","2","MXN0.00","","Generic"
"SE0021623","Adobe Acrobat 2015 Pro DC","Adobe Acrobat 2015 Pro DC","Perpetual","9280094816","","Malaysia","Johor Bahru - CJH - Airport","SHI INTERNATIONAL CORP.","2016-06-15","2","2","MXN14,114.94","","Generic"
"SE00106373","Adobe Acrobat 2015 Std","Adobe Acrobat 2015 Std","Perpetual","5500196918","","Canada","Newmarket","","","34","34","MXN0.00","","Generic"
"SE0022574","Adobe Acrobat 2020","Adobe Acrobat 2020","Perpetual","5500306933","","CANADA","Toronto - 5140 Yonge","","","1","1","MXN7,243.57","","Generic"
"SE0022808","Adobe Acrobat 2020","Adobe Acrobat 2020","Perpetual","5800044452","","UNITED STATES","Richardson","","2024-06-27","6","6","MXN59,629.84","","Generic"
"SE0022573","Adobe Acrobat 2020","Adobe Acrobat 2020","Perpetual","5500306600","","CANADA","Toronto - 5140 Yonge","","","1","1","MXN7,243.57","","Generic"
"SE0023204","Adobe Acrobat 2020","Adobe Acrobat 2020","Perpetual","9000800839","","Malaysia","Kulim","SHI Singapore Solutions PTE. LTD.","2022-02-24","1","1","MXN8,038.22","","Generic"
"SE0023697","Adobe Acrobat 2020","Adobe Acrobat 2020","Perpetual","","","","Portland","","","1","1","MXN0.00","","Generic"
"SE0022753","Adobe Acrobat 2020","Adobe Acrobat 2020","Perpetual","5800044452","","UNITED STATES","Richardson","","","0","0","MXN0.00","","Generic"
"SE0023187","Adobe Acrobat 2020","Adobe Acrobat 2020","Perpetual","5500309587","","CANADA","Toronto - 5140 Yonge","","","1","1","MXN3,671.01","","Generic"
"SE0023048","Adobe Acrobat 2020","Adobe Acrobat 2020","Perpetual","5500309793","","","Toronto - 5140 Yonge","","","1","1","MXN7,243.57","","Generic"
"SE00103898","Adobe Acrobat 2020","Adobe Acrobat 2020","Perpetual","9000400771","","CHINA","Suzhou CTC","","2021-11-26","1","1","MXN13,040.01","","Generic"
"SE0022515","Adobe Acrobat 2024 Pro","Adobe Acrobat 2024 Pro","Subscription","8640091770","2025-08-30","CHINA","Suzhou - Su Hong","","","1","1","MXN4,955.20","","Generic"
"SE0023662","Adobe Acrobat 2024 Pro","Adobe Acrobat 2024 Pro","Perpetual","5500314196 ","","CANADA","Toronto - 5140 Yonge","","","1","1","MXN0.00","","Generic"
"SE0023631","Adobe Acrobat 2024 Pro","Adobe Acrobat 2024 Pro","Perpetual","5500314763","","UNITED STATES","Richardson","","","1","1","MXN0.00","","Generic"
"SE0023435","Adobe Acrobat 2024 Pro","Adobe Acrobat 2024 Pro","Subscription","","2026-03-09","","","","","1","1","MXN0.00","","Generic"
"SE0023399","Adobe Acrobat 2024 Pro","Adobe Acrobat 2024 Pro","Perpetual","5500313459","","CANADA","Toronto - 5140 Yonge","","","1","1","MXN0.00","","Generic"
"SE0023404","Adobe Acrobat 2024 Pro","Adobe Acrobat 2024 Pro","Subscription","5500313329","2026-03-20","Canada","Toronto - 5140 Yonge","","","1","1","MXN2,087.85","","Generic"
"SE0023373","Adobe Acrobat 2024 Pro","Adobe Acrobat 2024 Pro","Subscription","","2025-08-08","UNITED STATES","Richardson","","","2","2","MXN0.00","","Generic"
"SE0023301","Adobe Acrobat 2024 Pro","Adobe Acrobat 2024 Pro","Subscription","5500312701/5500310611","2026-03-02","UNITED STATES","Richardson","","","2","2","MXN4,774.75","","Generic"
"SE0023401","Adobe Acrobat 2024 Pro","Adobe Acrobat 2024 Pro","Subscription","5500312929","2026-03-07","CANADA","Toronto - 5140 Yonge","","","1","1","MXN2,219.45","","Generic"
"SE0023713","Adobe Acrobat 2024 Pro","Adobe Acrobat 2024 Pro","Perpetual","5500315532","","UNITED STATES","Richardson","SHI","2025-05-14","2","2","MXN0.00","","Generic"
"SE0023403","Adobe Acrobat 2024 Pro","Adobe Acrobat 2024 Pro","Subscription","5500313196","2026-03-26","Canada","Remote Employee Canada","","","1","1","MXN2,175.65","","Generic"
"SE0023177","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Subscription","7400132173","2025-08-07","Malaysia","Kulim","SHI Singapore Solutions Pte. Ltd.","2025-01-23","1","1","MXN2,564.65","","Value Incentive Plan (VIP)"
"SE0023295","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Subscription","8200001693","2026-02-28","Malaysia","Kulim 2","ACAD SYTEMS (Penang ) SDN BHD","","1","1","MXN8,244.36","","Value Incentive Plan (VIP)"
"SE0022982","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Subscription","9280132330","2025-08-07","Malaysia","Johor Bahru - CJH - Airport","SHI Singapore Solutions PTE. LTD.","2024-09-11","1","1","MXN4,110.93","","Value Incentive Plan (VIP)"
"SE0022763","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Perpetual","7400130313","","Malaysia","Kulim","SHI","2024-09-10","1","1","MXN4,517.16","","Value Incentive Plan (VIP)"
"SE0022862","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Subscription","9180046398","2025-07-08","SINGAPORE","Singapore - 35 Marsiling","SHI Singapore Solutions Pte. Ltd.","","1","0","MXN3,912.50","","Enterprise Term License Agreement (ETLA)"
"SE0023740","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Perpetual","5500315623","","Canada","Newmarket","","2025-05-16","4","4","MXN0.00","","Generic"
"SE0022897","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Subscription","8200001145","2025-08-07","","","","","2","2","MXN7,446.85","","Value Incentive Plan (VIP)"
"SE0022946","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Subscription","7400131243","2025-09-08","Malaysia","Kulim","SHI Singapore Solutions Pte. Ltd.","2024-11-13","1","1","MXN3,723.43","","Value Incentive Plan (VIP)"
"SE0021900","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Subscription","9000801490","2025-08-07","Malaysia","Penang","SG00151962","","6","6","MXN0.00","","Value Incentive Plan (VIP)"
"SE0023210","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Subscription","9180046734","2025-08-07","SINGAPORE","Singapore - 452 Alexandra","","","1","1","MXN2,358.73","","Enterprise Term License Agreement (ETLA)"
"SE0023853","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Subscription","5300000767","2025-08-08","UNITED STATES","Remote Employee US","SHI","","1","1","MXN744.69","","Generic"
"SE0023344","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Subscription","9000801593","2026-03-09","Malaysia","Penang","","","3","3","MXN0.00","","Enterprise Term License Agreement (ETLA)"
"SE0022047","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Subscription","8200000733","2025-08-07","Malaysia","Kulim 2","","","2","2","MXN0.00","","Value Incentive Plan (VIP)"
"SE0022949","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Subscription","5500307913","2025-10-18","Romania","Oradea","","2024-10-17","1","1","MXN5,633.24","","Generic"
"SE0022951","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Subscription","5500309056","2025-11-16","Romania","Oradea","","2024-11-15","2","2","MXN11,266.48","","Generic"
"SE0022892","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Subscription","2400019124","2025-08-07","Hong Kong","Hong Kong","SHI","2024-11-07","1","1","MXN3,508.45","HS00077602","Enterprise Term License Agreement (ETLA)"
"SE0021914","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Subscription","9000801493","2025-08-07","Malaysia","Penang","","","1","1","MXN0.00","SG00152074","Value Incentive Plan (VIP)"
"SE0023216","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Subscription","9180046752","2025-08-07","SINGAPORE","Singapore - 35 Marsiling","","","1","1","MXN2,358.73","","Enterprise Term License Agreement (ETLA)"
"SE0022983","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Subscription","9280131736","2025-08-07","Malaysia","Johor Bahru - CJH - Airport","SHI Singapore Solutions PTE. LTD.","2024-07-24","3","3","MXN14,713.99","","Value Incentive Plan (VIP)"
"SE0022046","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Subscription","8200000636","2025-07-07","Malaysia","Kulim 2","","","2","0","MXN0.00","","Value Incentive Plan (VIP)"
"SE0023296","Adobe Acrobat X1 Pro","Adobe Acrobat X1 Pro","Perpetual","5500311729","","Canada","Newmarket","","","2","2","MXN0.00","","Generic"
"SE0021684","Adobe Acrobat X1 Pro","Adobe Acrobat X1 Pro","Perpetual","3400158920","","Thailand","Laem Chabang","","","3","3","MXN21,872.74","","Generic"
"SE0021786","Adobe Acrobat X1 Pro","Adobe Acrobat X1 Pro","Perpetual","9180031638","","Singapore","Singapore - 35 Marsiling","","","2","2","MXN13,852.86","","Enterprise Term License Agreement (ETLA)"
"SE0021618","Adobe Acrobat X1 Pro","Adobe Acrobat X1 Pro","Perpetual","9280087366","","Malaysia","Johor Bahru - CJH - Airport","SHI INTERNATIONAL CORP.","2014-04-17","1","1","MXN6,926.43","","Generic"
"SE00106137","Adobe Acrobat X1 Pro","Adobe Acrobat X1 Pro","Perpetual","9180030216","","SINGAPORE","Singapore - 452 Alexandra","SHI INTERNATIONAL CORP.","2013-12-26","3","3","MXN20,779.30","","Enterprise Agreement"
"SE0021664","Adobe Acrobat X1 Pro","Adobe Acrobat X1 Pro","Perpetual","5500175477","","Canada","Newmarket","","","1","1","MXN0.00","","Generic"
"SE0021758","Adobe Acrobat X1 Pro","Adobe Acrobat X1 Pro","Perpetual","","","canada","Newmarket","","2024-06-06","1","1","MXN9,938.31","","Generic"
"SE0021617","Adobe Acrobat X1 Pro","Adobe Acrobat X1 Pro","Perpetual","9280084366","","Malaysia","Johor Bahru - CJH - Airport","SHI INTERNATIONAL CORP.","2013-09-06","2","2","MXN13,852.86","","Generic"
"SE0021668","Adobe Acrobat X1 Pro","Adobe Acrobat X1 Pro","Perpetual","9708012413","","Malaysia","Johor Bahru - CJA","Flexi Team Computer Services Sdn Bhd","2014-11-12","2","0","MXN13,061.07","","Generic"
"SE00106154","Adobe Acrobat X1 Pro","Adobe Acrobat X1 Pro","Perpetual","9180031638","","SINGAPORE","Singapore - 35 Marsiling","SHI INTERNATIONAL CORP.","2014-12-24","2","2","MXN13,852.86","","Enterprise Agreement"
"SE0021616","Adobe Acrobat X1 Pro","Adobe Acrobat X1 Pro","Perpetual","9280080873","","Malaysia","Johor Bahru - CJH - Airport","SHI INTERNATIONAL CORP.","2012-11-23","2","2","MXN13,238.84","","Generic"
"SE0022571","Adobe Illustrator for Teams","Adobe Illustrator for Teams","Subscription","4500000032","2025-09-20","Malaysia","Penang - HPS","","","1","1","MXN9,884.05","","Value Incentive Plan (VIP)"
"SE0022795","Adobe Illustrator for Teams","Adobe Illustrator for Teams","Subscription","3569911009","2024-09-11","Thailand","Laem Chabang","","","1","0","MXN0.00","","Generic"
"SE0022739","Adobe Illustrator for Teams","Adobe Illustrator for Teams","Perpetual","9180046314","","SINGAPORE","Singapore - 6 Serangoon","","","1","1","MXN7,750.12","","Enterprise Term License Agreement (ETLA)"
"SE0022041","ADOBE SYSTEMS Acrobat 11","ADOBE SYSTEMS Acrobat 11","Perpetual","5500219772","","Canada","Newmarket","","","2","2","MXN0.00","","Generic"
"SE0022381","ADOBE SYSTEMS Acrobat 11 Pro","ADOBE SYSTEMS Acrobat 11 Pro","Perpetual","5500157096","","Mexico","Monterrey – Apodaca","PROFUCOM DE MEXICO SA DE CV","2011-10-13","1","1","MXN4,641.00","","Generic"
"SE00104207","ADOBE SYSTEMS Acrobat 11 Pro","ADOBE SYSTEMS Acrobat 11 Pro","Perpetual","740076895","","malaysia","Penang","","","1","1","MXN0.00","US00244710","Enterprise Term License Agreement (ETLA)"
"SE0022388","ADOBE SYSTEMS Acrobat 2017 Pro","ADOBE SYSTEMS Acrobat 2017 Pro","Perpetual","5800030942","","","","SHI CANADA ULC","2019-04-22","1","1","MXN7,722.04","","Generic"
"SE0022386","ADOBE SYSTEMS Acrobat 2017 Pro","ADOBE SYSTEMS Acrobat 2017 Pro","Perpetual","5800028809","","Mexico","Monterrey – Apodaca","MNJ TECHNOLOGIES DIRECT","2018-07-03","1","1","MXN7,722.04","","Generic"
"SE0022394","ADOBE SYSTEMS Acrobat 2017 Pro","ADOBE SYSTEMS Acrobat 2017 Pro","Perpetual","5800034026","","Mexico","Monterrey – Apodaca","SHI CANADA ULC","2020-11-17","1","1","MXN5,559.87","","Generic"
"SE0021627","ADOBE SYSTEMS Acrobat 2017 Pro","ADOBE SYSTEMS Acrobat 2017 Pro","Perpetual","9280100857","","Malaysia","Johor Bahru - CJH - Airport","SHI INTERNATIONAL CORP.","2017-12-19","1","1","MXN7,225.95","","Generic"
"SE0022397","ADOBE SYSTEMS Acrobat 2017 Pro","ADOBE SYSTEMS Acrobat 2017 Pro","Perpetual","5800038240","","Mexico","Monterrey – Apodaca","SHI CANADA ULC","2023-01-25","1","1","MXN11,328.46","","Generic"
"SE0021626","ADOBE SYSTEMS Acrobat 2017 Pro","ADOBE SYSTEMS Acrobat 2017 Pro","Perpetual","9280100662","","Malaysia","Johor Bahru - CJH - Airport","SHI INTERNATIONAL CORP.","2017-11-29","2","2","MXN14,451.91","","Generic"
"SE0021402","ADOBE SYSTEMS Acrobat 2017 Pro","ADOBE SYSTEMS Acrobat 2017 Pro","Perpetual","5500223266","","CANADA","Tucson","","","2","2","MXN0.00","","Generic"
"SE0022387","ADOBE SYSTEMS Acrobat 2017 Pro","ADOBE SYSTEMS Acrobat 2017 Pro","Perpetual","5800028822","","Mexico","Monterrey – Apodaca","SHI CANADA ULC","2018-07-10","1","1","MXN7,722.04","","Generic"
"SE0021632","ADOBE SYSTEMS Acrobat 2017 Pro","ADOBE SYSTEMS Acrobat 2017 Pro","Perpetual","9280105725","","Malaysia","Johor Bahru - CJH - Airport","SHI INTERNATIONAL CORP.","2019-02-14","2","2","MXN14,451.91","","Generic"
"SE0022963","ADOBE SYSTEMS Acrobat 2017 Pro","ADOBE SYSTEMS Acrobat 2017 Pro","Perpetual","5500249159","","","","","","1","1","MXN0.00","","Generic"
"SE0022974","ADOBE SYSTEMS Acrobat 2017 Pro","ADOBE SYSTEMS Acrobat 2017 Pro","Perpetual","5800029439","","CANADA","Toronto - 5140 Yonge","","","1","1","MXN0.00","","Generic"
"SE0022393","ADOBE SYSTEMS Acrobat 2017 Pro","ADOBE SYSTEMS Acrobat 2017 Pro","Perpetual","5800033443","","Mexico","Monterrey – Apodaca","SHI CANADA ULC","2020-06-30","1","1","MXN5,443.80","","Generic"
"SE0022975","ADOBE SYSTEMS Acrobat 2017 Pro","ADOBE SYSTEMS Acrobat 2017 Pro","Perpetual","5800029439","","Canada","Toronto - 5140 Yonge","","","1","1","MXN0.00","","Generic"
"SE0021404","ADOBE SYSTEMS Acrobat 2017 Pro","ADOBE SYSTEMS Acrobat 2017 Pro","Perpetual","5500225862","","","Tucson","","","1","1","MXN0.00","","Generic"
"SE0022385","ADOBE SYSTEMS Acrobat 2017 Pro","ADOBE SYSTEMS Acrobat 2017 Pro","Perpetual","5800028459","","Mexico","Monterrey – Apodaca","SHI CANADA ULC","2018-12-27","2","2","MXN15,313.03","","Generic"
"SE0021629","ADOBE SYSTEMS Acrobat 2017 Pro","ADOBE SYSTEMS Acrobat 2017 Pro","Perpetual","9280102409","","Malaysia","Johor Bahru - CJH - Airport","SHI INTERNATIONAL CORP.","2018-04-16","1","1","MXN7,225.95","","Generic"
"SE0021631","ADOBE SYSTEMS Acrobat 2017 Pro","ADOBE SYSTEMS Acrobat 2017 Pro","Perpetual","9280103713","","Malaysia","Johor Bahru - CJH - Airport","SHI INTERNATIONAL CORP.","2018-08-07","1","1","MXN7,225.95","","Generic"
"SE0022384","ADOBE SYSTEMS Acrobat 2017 Pro","ADOBE SYSTEMS Acrobat 2017 Pro","Perpetual","5800028149","","Mexico","Monterrey – Apodaca","SHI CANADA ULC","2018-04-04","1","1","MXN7,656.52","","Generic"
"SE0022382","ADOBE SYSTEMS Acrobat 2017 Pro","ADOBE SYSTEMS Acrobat 2017 Pro","Perpetual","5800025212","","Mexico","Monterrey – Apodaca","SHI CANADA ULC","2017-04-13","2","2","MXN15,799.75","","Generic"
"SE00104202","ADOBE SYSTEMS Acrobat 2017 Pro","ADOBE SYSTEMS Acrobat 2017 Pro","Perpetual","9000800512","","Malaysia","Penang","","","2","2","MXN0.00","UB00416384","Enterprise Term License Agreement (ETLA)"
"SE0021628","ADOBE SYSTEMS Acrobat 2017 Pro","ADOBE SYSTEMS Acrobat 2017 Pro","Perpetual","9280101218","","Malaysia","Johor Bahru - CJH - Airport","SHI INTERNATIONAL CORP.","2018-01-18","2","2","MXN14,451.91","","Generic"
"SE0021630","ADOBE SYSTEMS Acrobat 2017 Pro","ADOBE SYSTEMS Acrobat 2017 Pro","Perpetual","9280103249","","Malaysia","Johor Bahru - CJH - Airport","SHI INTERNATIONAL CORP.","2018-07-09","1","1","MXN7,225.95","","Generic"
"SE0021403","ADOBE SYSTEMS Acrobat 2017 Pro","ADOBE SYSTEMS Acrobat 2017 Pro","Perpetual","5500224648","","","Tucson","","","1","1","MXN0.00","","Generic"
"SE0022383","ADOBE SYSTEMS Acrobat 2017 Pro","ADOBE SYSTEMS Acrobat 2017 Pro","Perpetual","5800025725","","Mexico","Monterrey – Apodaca","SHI CANADA ULC","2018-01-29","1","1","MXN7,899.88","","Generic"
"SE0021773","ADOBE SYSTEMS Acrobat 2017 Pro","ADOBE SYSTEMS Acrobat 2017 Pro","Perpetual","9180036558","","Singapore","Singapore - 35 Marsiling","","","1","1","MXN7,225.95","","Enterprise Term License Agreement (ETLA)"
"SE0021633","ADOBE SYSTEMS Acrobat 2017 Pro","ADOBE SYSTEMS Acrobat 2017 Pro","Perpetual","9280110427","","Malaysia","Johor Bahru - CJH - Airport","SHI INTERNATIONAL CORP.","2020-04-21","1","1","MXN7,937.32","","Generic"
"SE0021625","ADOBE SYSTEMS Acrobat 2017 Pro","ADOBE SYSTEMS Acrobat 2017 Pro","Perpetual","9280100575","","Malaysia","Johor Bahru - CJH - Airport","SHI INTERNATIONAL CORP.","2017-11-23","1","1","MXN7,225.95","","Generic"
"SE0020393","ADOBE SYSTEMS Acrobat 2017 Standard","ADOBE SYSTEMS Acrobat 2017 Standard","Perpetual","5500240968","","UNITED STATES","Tucson","","2019-05-23","1","1","MXN0.00","","Generic"
"SE0021401","ADOBE SYSTEMS Acrobat 2017 Standard","ADOBE SYSTEMS Acrobat 2017 Standard","Perpetual","5000474162","","","Tucson","","","1","1","MXN0.00","","Generic"
"SE0021406","ADOBE SYSTEMS Acrobat 2017 Standard","ADOBE SYSTEMS Acrobat 2017 Standard","Perpetual","5500226632","","UNITED STATES","Tucson","","","2","2","MXN0.00","","Generic"
"SE0021407","ADOBE SYSTEMS Acrobat 2017 Standard","ADOBE SYSTEMS Acrobat 2017 Standard","Perpetual","5500233789","","UNITED STATES","Tucson","","","2","2","MXN0.00","","Generic"
"SE0021409","ADOBE SYSTEMS Acrobat 2017 Standard","ADOBE SYSTEMS Acrobat 2017 Standard","Perpetual","5500238912","","","Tucson","","","1","1","MXN0.00","","Generic"
"SE0021405","ADOBE SYSTEMS Acrobat 2017 Standard","ADOBE SYSTEMS Acrobat 2017 Standard","Perpetual","5500225862","","UNITED STATES","Tucson","","","1","1","MXN0.00","","Generic"
"SE0020553","ADOBE SYSTEMS Acrobat 2020 Pro","ADOBE SYSTEMS Acrobat 2020 Pro","Perpetual","5500280201","","CANADA","Toronto - 5140 Yonge","","2022-11-04","1","1","MXN0.00","","Generic"
"SE0022988","ADOBE SYSTEMS Acrobat 2020 Pro","ADOBE SYSTEMS Acrobat 2020 Pro","Perpetual","9280131302","","Malaysia","Johor Bahru - CJH - Airport","SHI Singapore Solutions PTE. LTD.","2024-06-13","1","1","MXN11,110.37","","Generic"
"SE0020824","ADOBE SYSTEMS Acrobat 2020 Pro","ADOBE SYSTEMS Acrobat 2020 Pro","Perpetual","9000801330","","Malaysia","Kulim","","2023-12-01","3","3","MXN0.00","","Generic"
"SE0022876","ADOBE SYSTEMS Acrobat 2020 Pro","ADOBE SYSTEMS Acrobat 2020 Pro","Perpetual","5500306310","","Canada","Toronto - 5140 Yonge","","","1","1","MXN9,921.65","","Generic"
"SE0022401","ADOBE SYSTEMS Acrobat 2020 Pro","ADOBE SYSTEMS Acrobat 2020 Pro","Perpetual","5800041224","","Mexico","Monterrey – Apodaca","SHI CANADA ULC","2023-05-10","1","1","MXN10,545.59","","Generic"
"SE0020543","ADOBE SYSTEMS Acrobat 2020 Pro","ADOBE SYSTEMS Acrobat 2020 Pro","Perpetual","5500278997","","CANADA","Toronto - 5140 Yonge","","2022-10-06","1","1","MXN0.00","","Generic"
"SE0020711","ADOBE SYSTEMS Acrobat 2020 Pro","ADOBE SYSTEMS Acrobat 2020 Pro","Perpetual","5800034116","","CANADA","Toronto - 5140 Yonge","","2020-12-02","1","1","MXN0.00","","Generic"
"SE0021649","ADOBE SYSTEMS Acrobat 2020 Pro","ADOBE SYSTEMS Acrobat 2020 Pro","Perpetual","9280123194","","Malaysia","Johor Bahru - CJH - Airport","SHI INTERNATIONAL CORP.","","1","1","MXN11,008.16","","Generic"
"SE0022492","ADOBE SYSTEMS Acrobat 2020 Pro","ADOBE SYSTEMS Acrobat 2020 Pro","Perpetual","5500239786","","Romania","Oradea","","2019-04-16","1","1","MXN3,989.64","","Generic"
"SE0022389","ADOBE SYSTEMS Acrobat 2020 Pro","ADOBE SYSTEMS Acrobat 2020 Pro","Perpetual","5800044295","","Mexico","Monterrey – Apodaca","SHI CANADA ULC","2024-05-17","3","3","MXN29,814.92","","Generic"
"SE0021777","ADOBE SYSTEMS Acrobat 2020 Pro","ADOBE SYSTEMS Acrobat 2020 Pro","Perpetual","9180043183","","Singapore","Singapore - 35 Marsiling","","","1","1","MXN8,985.64","","Enterprise Term License Agreement (ETLA)"
"SE0022512","ADOBE SYSTEMS Acrobat 2020 Pro","ADOBE SYSTEMS Acrobat 2020 Pro","Perpetual","5800042885","","UNITED STATES","Remote Employee US","","","26","26","MXN258,395.97","","Generic"
"SE0021864","ADOBE SYSTEMS Acrobat 2020 Pro","ADOBE SYSTEMS Acrobat 2020 Pro","Perpetual","5500304103","","CANADA","Toronto - 5140 Yonge","","","1","1","MXN7,231.43","","Generic"
"SE0022865","ADOBE SYSTEMS Acrobat 2020 Pro","ADOBE SYSTEMS Acrobat 2020 Pro","Perpetual","5500295880","","CANADA","Toronto - 5140 Yonge","","","7","7","MXN50,620.01","","Generic"
"SE0022868","ADOBE SYSTEMS Acrobat 2020 Pro","ADOBE SYSTEMS Acrobat 2020 Pro","Perpetual","5500284565","","Celestica Inc.","Toronto - 5140 Yonge","","","2","2","MXN19,843.29","","Generic"
"SE0021650","ADOBE SYSTEMS Acrobat 2020 Pro","ADOBE SYSTEMS Acrobat 2020 Pro","Perpetual","9280124013","","Malaysia","Johor Bahru - CJH - Airport","SHI INTERNATIONAL CORP.","","1","1","MXN11,313.48","","Generic"
"SE0022854","ADOBE SYSTEMS Acrobat 2020 Pro","ADOBE SYSTEMS Acrobat 2020 Pro","Perpetual","9280131371","","Malaysia","Johor Bahru - CJH - Airport","SHI Singapore Solutions PTE. LTD.","2024-06-19","1","1","MXN11,110.37","","Generic"
"SE0021608","ADOBE SYSTEMS Acrobat 2020 Pro","ADOBE SYSTEMS Acrobat 2020 Pro","Perpetual","8200000079","","Malaysia","Kulim","","","1","1","MXN11,101.01","","Enterprise Term License Agreement (ETLA)"
"SE0020728","ADOBE SYSTEMS Acrobat 2020 Pro","ADOBE SYSTEMS Acrobat 2020 Pro","Perpetual","5800035714","","CANADA","Toronto - 5140 Yonge","","2021-06-15","1","1","MXN0.00","","Generic"
"SE0020666","ADOBE SYSTEMS Acrobat 2020 Pro","ADOBE SYSTEMS Acrobat 2020 Pro","Perpetual","","","CANADA","Toronto - 5140 Yonge","","2023-11-23","0","0","MXN0.00","","Generic"
"SE0022870","ADOBE SYSTEMS Acrobat 2020 Pro","ADOBE SYSTEMS Acrobat 2020 Pro","Perpetual","5500296373","","CANADA","Toronto - 5140 Yonge","","","1","1","MXN9,921.65","","Generic"
"SE0022874","ADOBE SYSTEMS Acrobat 2020 Pro","ADOBE SYSTEMS Acrobat 2020 Pro","Perpetual","5500306305","","Canada","Toronto - 5140 Yonge","","","1","1","MXN9,921.65","","Generic"
